latency.NwRTD
23.1
49.8
52.5
43
124
37.4
26.5
27.4
47.8
48.9
66.4
42.1
53.8
43.7
27.7
25.9
46.8
60.2
20.3
23.1
35
46
18.3
63.3
40.1
87.1
50.6
22.2
64.6
31.8
46.1
21
30.3
59.7
47.4
39.8
104
22
43.3
43.9
19
82.1
124
47.7
17.3
29.9
66.3
61.3
39.6
37.4
26.9
19.2
69.5
48
32.7
44.2
20.9
21.1
49
65.9
59.9
26.6
74.7
23.9
13.5
36.2
24.1
76
40.9
27.5
20.9
61.5
60
25.8
19.2
30.6
36.1
45.3
34.2
36.4
55.8
36.6
37.7
41.1
23.7
42
37
73.6
34.5
86.1
45
40.1
84.8
34.8
21
43.9
58.2
31.5
36.8
35.1
28.1
42.2
39
31.4
34.6
42.3
55.9
36.3
72.4
110
18.8
92.8
21.9
17.9
28.6
32.3
46.5
81.4
72.5
38.4
23
27.3
41.2
56.2
61.5
21
65.1
73.4
98.1
45.6
40
30.5
62.5
42.2
39.6
63.1
24.4
36.5
18.8
33.5
107
28.9
19.5
63.4
45.4
57.4
28.1
53
22.9
43.4
66.5
60
19.3
37.6
39.7
42.8
57
58.1
18.4
25.4
117
43.6
22.5
24.1
31.1
57.3
41
42.8
143
32.4
57.5
35.9
27.3
38.7
26.3
19.1
95.1
39.9
79.5
71
43.4
66.6
47.5
90.4
45.7
49.3
23.2
29.1
36
49.7
41.2
21.5
26.1
21
73.7
23.3
18.6
24.4
52.2
49.8
26.1
61.3
20.2
21.1
76.1
55.3
107
37.3
41.7
65.7
74.5
34.3
38.7
31.6
62.5
50
29.1
45.4
20.2
54.2
78.8
141
52.2
25.4
60.3
33.7
31.1
63.1
57.7
77.8
21.9
48.3
41.2
68.4
18.2
49.6
29.5
34.6
60.3
45.6
46.7
41.7
21.7
53.8
21.2
50.5
39.7
40.7
36.4
27
88.7
44.5
25.5
46.5
21.7
35.3
23.9
18.8
34.5
35.4
36.1
23.1
44.2
37.8
51.9
26.9
12.5
25.2
59
26.4
54.7
32.6
40.5
19
63.3
49.6
67.4
35.9
52
45.2
80.3
107
171
72.1
55.6
17.3
40.1
19.8
120
27
75.9
36.4
19.3
18.6
23.1
42.2
155
69.9
107
25.3
33.3
36.3
139
28.6
86.7
40.5
53.1
53
264
22.3
36.1
17.5
70.2
36.7
33.5
40.9
19.4
35
83.3
117
32.4
22.8
137
45.8
25.3
156
81.6
45.2
38.6
30.5
45.2
25.7
34.7
37.5
46.8
46.8
23.2
53.1
23.5
34.9
77.3
103
25.1
35.1
65.6
33.9
45.9
68.8
61.5
30.6
33.6
22.5
40.3
35.3
28.3
37.7
73.8
18.8
15.9
36.7
54.4
157
45.5
19.8
38.9
49.7
27.1
28
18.9
55.5
34.9
72.6
87.7
36.1
157
129
21
33.9
22.3
45.3
49.4
37
29.3
47
18.3
26.3
71.2
26.1
64.8
56.7
33.5
131
56.8
48.2
28.4
20.9
22.6
46.2
112
27.8
55.4
56.5
33.4
19.5
35.4
99.9
37.2
43.8
95
58.5
46.7
27.8
32.1
24.3
46.7
33.9
19.4
67.8
23.6
27.3
64.7
60.1
37.3
28
87.4
98.5
78.6
58.6
40
67.9
50.2
35
55.9
74.2
25.6
41
43
39
48.4
33.4
32.8
138
40.8
43.9
44.3
45.6
40.2
46.3
49
46.1
23.9
86
35.7
48.5
26.6
27
23.5
38.7
55.7
25.6
40.3
54.8
49.6
43.7
23
40.5
77.5
38.2
65.7
57.2
35.3
19.8
31.1
30.7
81.5
38
32.5
105
39.3
38.9
50.5
38.1
21.3
20.6
26.7
18.7
23.3
111
73.8
95.3
37.2
43.4
53.5
34.2
62.9
52.5
34.6
46.3
48.3
49.1
41.6
29.2
72.8
47.6
34
24
25.2
48.9
56.2
70.7
90.6
49.8
39.7
45.2
28.4
65.2
22.3
20.5
46.7
63.2
37
36
26.4
62
32.5
39.2
61.3
32.8
70.9
18.8
73.2
19.8
22.8
28.6
42.5
21
67.2
71.6
19
33.2
33.6
20.9
20.5
30
42.7
18.8
37.6
52
47.6
23.1
24.7
19
59.3
113
43.3
34.3
19
35.8
33.7
19.7
37.8
57.4
49.5
45.1
24.2
59.4
26.3
44
42
34.8
20.5
29.2
51.6
19.2
43.7
60.8
38.6
51.6
18
58.7
28.3
25.2
40
23.4
64.1
44.1
23.5
40.6
111
36.7
45.8
93.6
21.3
67
21.7
97.6
41.1
57.9
38.5
18.1
28.6
37.5
27
51.3
72
30.8
31.2
24.3
51.5
20.4
40.9
54.9
27.7
45.4
23.6
49.6
30.1
72.6
49.8
26.4
22.6
53.9
61.2
51.6
19.2
45.3
86.4
77.2
91.4
38.9
24.7
39.6
56.8
42.1
21.3
20.8
45.9
63.6
108
47.4
33.2
17.4
58.8
22
21.9
62.4
54.1
25.1
27.4
70.1
26.2
86
21.3
30.7
27.4
34.5
57.5
36.1
106
18.8
46.8
36.9
43.2
24.7
30.9
74.1
31
35.6
46.7
19.1
49.7
24.9
94.3
21.7
41
50.3
47.7
46
28.5
75.7
54.2
83.2
27.4
45.1
28.3
159
70.8
24
70.8
35.4
31.9
27.1
26.9
77.7
60.1
35.4
39.1
70.1
40.8
44.1
